Variable_name	Value
auto_increment_increment	1
auto_increment_offset	1
autocommit	ON
automatic_sp_privileges	ON
avoid_temporal_upgrade	OFF
back_log	80
basedir	/usr/local/mysql-5.7.24-linux-glibc2.12-x86_64/
big_tables	OFF
bind_address	*
binlog_cache_size	32768
binlog_checksum	NONE
binlog_direct_non_transactional_updates	OFF
binlog_error_action	ABORT_SERVER
binlog_format	ROW
binlog_group_commit_sync_delay	0
binlog_group_commit_sync_no_delay_count	0
binlog_gtid_simple_recovery	ON
binlog_max_flush_queue_time	0
binlog_order_commits	ON
binlog_row_image	FULL
binlog_rows_query_log_events	ON
binlog_stmt_cache_size	32768
binlog_transaction_dependency_history_size	25000
binlog_transaction_dependency_tracking	COMMIT_ORDER
block_encryption_mode	aes-128-ecb
bulk_insert_buffer_size	8388608
character_set_client	utf8mb4
character_set_connection	utf8mb4
character_set_database	utf8mb4
character_set_filesystem	binary
character_set_results	utf8mb4
character_set_server	utf8mb4
character_set_system	utf8
character_sets_dir	/usr/local/mysql-5.7.24-linux-glibc2.12-x86_64/share/charsets/
check_proxy_users	OFF
collation_connection	utf8mb4_general_ci
collation_database	utf8mb4_general_ci
collation_server	utf8mb4_general_ci
completion_type	NO_CHAIN
concurrent_insert	AUTO
connect_timeout	10
core_file	OFF
datadir	/data_mha_test/mysql/
date_format	%Y-%m-%d
datetime_format	%Y-%m-%d %H:%i:%s
default_authentication_plugin	mysql_native_password
default_password_lifetime	0
default_storage_engine	InnoDB
default_tmp_storage_engine	InnoDB
default_week_format	0
delay_key_write	ON
delayed_insert_limit	100
delayed_insert_timeout	300
delayed_queue_size	1000
disabled_storage_engines	
disconnect_on_expired_password	ON
div_precision_increment	4
end_markers_in_json	OFF
enforce_gtid_consistency	ON
eq_range_index_dive_limit	200
event_scheduler	OFF
expire_logs_days	7
explicit_defaults_for_timestamp	OFF
flush	OFF
flush_time	0
foreign_key_checks	ON
ft_boolean_syntax	+ -><()~*:""&|
ft_max_word_len	84
ft_min_word_len	4
ft_query_expansion_limit	20
ft_stopword_file	(built-in)
general_log	OFF
general_log_file	/data_mha_test/mysql/5e6348bc3336.log
group_concat_max_len	1024
group_replication_allow_local_disjoint_gtids_join	OFF
group_replication_allow_local_lower_version_join	OFF
group_replication_auto_increment_increment	7
group_replication_bootstrap_group	OFF
group_replication_components_stop_timeout	31536000
group_replication_compression_threshold	1000000
group_replication_enforce_update_everywhere_checks	OFF
group_replication_exit_state_action	READ_ONLY
group_replication_flow_control_applier_threshold	25000
group_replication_flow_control_certifier_threshold	25000
group_replication_flow_control_mode	QUOTA
group_replication_force_members	
group_replication_group_name	aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
group_replication_group_seeds	localhost:24901,localhost:24902,localhost:24903
group_replication_gtid_assignment_block_size	1000000
group_replication_ip_whitelist	AUTOMATIC
group_replication_local_address	localhost:24901
group_replication_member_weight	50
group_replication_poll_spin_loops	0
group_replication_recovery_complete_at	TRANSACTIONS_APPLIED
group_replication_recovery_reconnect_interval	60
group_replication_recovery_retry_count	10
group_replication_recovery_ssl_ca	
group_replication_recovery_ssl_capath	
group_replication_recovery_ssl_cert	
group_replication_recovery_ssl_cipher	
group_replication_recovery_ssl_crl	
group_replication_recovery_ssl_crlpath	
group_replication_recovery_ssl_key	
group_replication_recovery_ssl_verify_server_cert	OFF
group_replication_recovery_use_ssl	OFF
group_replication_single_primary_mode	OFF
group_replication_ssl_mode	DISABLED
group_replication_start_on_boot	OFF
group_replication_transaction_size_limit	0
group_replication_unreachable_majority_timeout	0
gtid_executed	08f613ca-0987-11e9-9657-2a4b2341d9ba:1-3077,\n62e1d9f5-7ae0-11e9-9dc5-1e329a18c798:1-3,\n73045fb8-7ade-11e9-8eb9-1e329a18c798:1
gtid_executed_compression_period	1000
gtid_mode	ON
gtid_owned	
gtid_purged	08f613ca-0987-11e9-9657-2a4b2341d9ba:1-2075,\n62e1d9f5-7ae0-11e9-9dc5-1e329a18c798:1-3,\n73045fb8-7ade-11e9-8eb9-1e329a18c798:1
have_compress	YES
have_crypt	YES
have_dynamic_loading	YES
have_geometry	YES
have_openssl	DISABLED
have_profiling	YES
have_query_cache	YES
have_rtree_keys	YES
have_ssl	DISABLED
have_statement_timeout	YES
have_symlink	YES
host_cache_size	279
hostname	5e6348bc3336
ignore_builtin_innodb	OFF
ignore_db_dirs	
init_connect	
init_file	
init_slave	
innodb_adaptive_flushing	ON
innodb_adaptive_flushing_lwm	10
innodb_adaptive_hash_index	ON
innodb_adaptive_hash_index_parts	8
innodb_adaptive_max_sleep_delay	150000
innodb_api_bk_commit_interval	5
innodb_api_disable_rowlock	OFF
innodb_api_enable_binlog	OFF
innodb_api_enable_mdl	OFF
innodb_api_trx_level	0
innodb_autoextend_increment	64
innodb_autoinc_lock_mode	2
innodb_buffer_pool_chunk_size	134217728
innodb_buffer_pool_dump_at_shutdown	ON
innodb_buffer_pool_dump_now	OFF
innodb_buffer_pool_dump_pct	25
innodb_buffer_pool_filename	ib_buffer_pool
innodb_buffer_pool_instances	1
innodb_buffer_pool_load_abort	OFF
